log Kd;compound;Kd (L/kg);log D (L/kg);molecular weight (g/mol);positive charges ;negative charges ;Log S (mol/L) at pH 7;number of aromatic rings;molecular volume  (cm3/mol/100)  ;estimated log KOC  (L/kg);surface area (m2/g);PZC;O wt%;reference
5.20E+00;PFPeA;1.60E+05;-0.54;264.05;0;1;-3.72;0;1.05;2.43;;;;1
5.90E+00;PFHxA;7.95E+05;0.18;314.05;0;1;-4.59;0;1.22;2.45;;;;1
5.95E+00;PFHpA;8.90E+05;0.88;364.06;0;1;-5.42;0;1.4;3.77;;;;1
5.70E+00;PFPrS;5.01E+05;-0.45;249.09;0;1;-2.48;0;0.995;1.68;;;;1
5.80E+00;PFBS;6.31E+05;0.251;299.1;0;1;-3.36;0;1.17;2.25;;;;1
5.75E+00;PFPeS;5.62E+05;0.95;350.11;0;1;-4.2;0;1.35;3.01;;;;1
5.70E+00;PFHxS;5.01E+05;1.65;400.11;0;1;-5;0;1.52;3.3;;;;1
2.65E+00;Trifluoromethanesulfonic acid ;4.50E+02;-3.8;150.08;0;1;-0.61;0;0.642;0.352;1140;9.5;;2
2.83E+00;Trifluoromethanesulfonic acid ;6.80E+02;-3.8;150.08;0;1;-0.61;0;0.642;0.352;1030;8.1;;2
3.35E+00;PFBA;2.25E+03;-1.22;214.039;0;1;-2.82;0;0.871;1.81;212;;;3
3.57E+00;PFPeA;3.70E+03;-0.54;264.05;0;1;-3.72;0;1.05;2.43;212;;;3
3.74E+00;PFHxA;5.50E+03;0.18;314.05;0;1;-4.59;0;1.22;2.45;212;;;3
4.06E+00;PFHpA;1.14E+04;0.88;364.06;0;1;-5.42;0;1.4;3.77;212;;;3
4.11E+00;PFBS;1.30E+04;0.251;299.1;0;1;-3.36;0;1.17;2.26;212;;;3
4.88E+00;PFHxS;7.60E+04;1.65;400.11;0;1;-5;0;1.52;3.3;422;;;3
4.73E+00;PFBA;5.32E+04;-1.22;214.039;0;1;-2.82;0;0.871;1.81;422;;;3
4.98E+00;PFPeA;9.60E+04;-0.54;264.05;0;1;-3.72;0;1.05;2.43;422;;;3
5.14E+00;PFHxA;1.39E+05;0.18;314.05;0;1;-4.59;0;1.22;2.45;422;;;3
5.23E+00;PFHpA;1.70E+05;0.88;364.06;0;1;-5.42;0;1.4;3.77;422;;;3
4.40E+00;PFBA;2.52E+04;-1.22;214.039;0;1;-2.82;0;0.871;1.81;732;;;3
