log Kd (L/kg);log D (L/kg);molecular weight (g/mol);positive charges;negative charges;Log S (mol/L) at pH 7;number of aromatic rings;molecular volume  (cm3/mol/100);estimated log KOC  (L/kg);surface area (m2/g);O wt%;delta_PZCpH
5.20E+00;-0.54;264.05;0;1;-3.72;0;1.05;2.43;;;
5.90E+00;0.18;314.05;0;1;-4.59;0;1.22;2.45;;;
5.95E+00;0.88;364.06;0;1;-5.42;0;1.4;3.77;;;
5.70E+00;-0.45;249.09;0;1;-2.48;0;0.995;1.68;;;
5.80E+00;0.251;299.1;0;1;-3.36;0;1.1711;2.25;;;
5.75E+00;0.95;350.11;0;1;-4.2;0;1.35;3.01;;;
5.70E+00;1.65;400.11;0;1;-5;0;1.52;3.3;;;
2.65E+00;-3.8;150.08;0;1;-0.61;0;0.642;0.352;1140;;2.6
2.83E+00;-3.8;150.08;0;1;-0.61;0;0.642;0.352;1030;;1.2
3.35E+00;-1.22;214.039;0;1;-2.82;0;0.8705;1.81;212;;
3.57E+00;-0.54;264.05;0;1;-3.72;0;1.05;2.43;212;;
3.74E+00;0.18;314.05;0;1;-4.59;0;1.22;2.45;212;;
4.06E+00;0.88;364.06;0;1;-5.42;0;1.4;3.77;212;;
4.11E+00;0.251;299.1;0;1;-3.36;0;1.1711;2.26;212;;
4.88E+00;1.65;400.11;0;1;-5;0;1.52;3.3;422;;
4.73E+00;-1.22;214.039;0;1;-2.82;0;0.8705;1.81;422;;
4.98E+00;-0.54;264.05;0;1;-3.72;0;1.05;2.43;422;;
5.14E+00;0.18;314.05;0;1;-4.59;0;1.22;2.45;422;;
5.23E+00;0.88;364.06;0;1;-5.42;0;1.4;3.77;422;;
4.40E+00;-1.22;214.039;0;1;-2.82;0;0.8705;1.81;732;;
4.88E+00;-0.54;264.05;0;1;-3.72;0;1.05;2.43;732;;
4.98E+00;0.18;314.05;0;1;-4.59;0;1.22;2.45;732;;
5.11E+00;0.88;364.06;0;1;-5.42;0;1.4;3.77;732;;
5.07E+00;0.251;299.1;0;1;-3.36;0;1.1711;2.26;732;;
4.85E+00;1.65;400.11;0;1;-5;0;1.52;3.3;732;;
4.59E+00;-1.22;214.039;0;1;-2.82;0;0.8705;1.81;820;;
4.61E+00;-0.54;264.05;0;1;-3.72;0;1.05;2.43;820;;
5.32E+00;0.18;314.05;0;1;-4.59;0;1.22;2.45;820;;
5.95E+00;0.88;364.06;0;1;-5.42;0;1.4;3.77;820;;
3.39E+00;-1.22;214.039;0;1;-2.82;0;0.8705;1.81;900;;
4.26E+00;-0.54;264.05;0;1;-3.72;0;1.05;2.43;900;;
4.76E+00;0.18;314.05;0;1;-4.59;0;1.22;2.45;900;;
4.98E+00;0.88;364.06;0;1;-5.42;0;1.4;3.77;900;;
4.83E+00;0.251;299.1;0;1;-3.36;0;1.1711;2.26;900;;
4.98E+00;1.65;400.11;0;1;-5;0;1.52;3.3;900;;
5.04E+00;1.65;400.11;0;1;-5;0;1.52;3.3;752;;1.05
4.59E+00;1.65;400.11;0;1;-5;0;1.52;3.3;1000;;
3.72E+00;-1.22;214.039;0;1;-2.82;0;0.8705;1.81;1120;;
4.13E+00;0.251;299.1;0;1;-3.36;0;1.1711;2.26;1120;;
4.01E+00;0.18;314.05;0;1;-4.59;0;1.22;2.45;1120;;
4.25E+00;1.65;400.11;0;1;-5;0;1.52;3.3;1120;;
4.56E+00;-1.22;214.039;0;1;-2.82;0;0.8705;1.81;730;;
4.63E+00;0.251;299.1;0;1;-3.36;0;1.1711;2.26;730;;
4.68E+00;0.18;314.05;0;1;-4.59;0;1.22;2.45;730;;
4.64E+00;1.65;400.11;0;1;-5;0;1.52;3.3;730;;
4.20E+00;0.18;314.05;0;1;-4.59;0;1.22;2.45;726;;2.7
3.85E+00;-0.54;264.05;0;1;-3.72;0;1.05;2.43;726;;2.7
4.62E+00;0.251;299.1;0;1;-3.36;0;1.1711;2.26;726;;2.7
4.70E+00;1.65;400.11;0;1;-5;0;1.52;3.3;726;;2.7
4.00E+00;0.18;314.05;0;1;-4.59;0;1.22;2.45;726;;2.6
3.98E+00;0.251;299.1;0;1;-3.36;0;1.1711;2.26;726;;2.6
4.06E+00;1.65;400.11;0;1;-5;0;1.52;3.3;726;;2.6
4.03E+00;0.18;314.05;0;1;-4.59;0;1.22;2.45;1050;;
5.30E+00;1.65;400.11;0;1;-5;0;1.52;3.3;1050;;
4.59E+00;0.18;314.05;0;1;-4.59;0;1.22;2.45;1050;;
4.45E+00;0.47;330.05;0;1;-4.82;0;1.28;2.075;1050;2.45;
4.48E+00;0.18;314.05;0;1;-4.59;0;1.22;2.45;820;;
4.17E+00;0.47;330.05;0;1;-4.82;0;1.28;2.075;820;;
