log Kd (L/kg),log D (L/kg),molecular weight (g/mol),positive charges,negative charges,Log S (mol/L) at pH 7,number of aromatic rings,molecular volume  (cm3/mol/100),estimated log KOC  (L/kg),surface area (m2/g),O wt%,delta_PZCpH,PZC
5.204119982655925,-0.54,264.05,0,1,-3.72,0,1.05,2.43,,,,
5.900367128656471,0.18,314.05,0,1,-4.59,0,1.22,2.45,,,,
5.949390006644912,0.88,364.06,0,1,-5.42,0,1.4,3.77,,,,
5.699837725867246,-0.45,249.09,0,1,-2.48,0,0.995,1.68,,,,
5.800029359244134,0.251,299.1,0,1,-3.36,0,1.1711,2.25,,,,
5.749736315569061,0.95,350.11,0,1,-4.2,0,1.35,3.01,,,,
5.699837725867246,1.65,400.11,0,1,-5.0,0,1.52,3.3,,,,
2.6532125137753435,-3.8,150.08,0,1,-0.61,0,0.642,0.352,1140.0,,2.6,9.5
2.832508912706236,-3.8,150.08,0,1,-0.61,0,0.642,0.352,1030.0,,1.1999999999999993,8.1
3.3521825181113627,-1.22,214.039,0,1,-2.82,0,0.8705,1.81,212.0,,,
3.568201724066995,-0.54,264.05,0,1,-3.72,0,1.05,2.43,212.0,,,
3.740362689494244,0.18,314.05,0,1,-4.59,0,1.22,2.45,212.0,,,
4.056904851336473,0.88,364.06,0,1,-5.42,0,1.4,3.77,212.0,,,
4.113943352306837,0.251,299.1,0,1,-3.36,0,1.1711,2.26,212.0,,,
4.880813592280791,1.65,400.11,0,1,-5.0,0,1.52,3.3,422.0,,,
4.725503268859316,-1.22,214.039,0,1,-2.82,0,0.8705,1.81,422.0,,,
4.982271233039568,-0.54,264.05,0,1,-3.72,0,1.05,2.43,422.0,,,
5.143014800254095,0.18,314.05,0,1,-4.59,0,1.22,2.45,422.0,,,
5.230448921378274,0.88,364.06,0,1,-5.42,0,1.4,3.77,422.0,,,
4.401400540781544,-1.22,214.039,0,1,-2.82,0,0.8705,1.81,732.0,,,
4.880813592280791,-0.54,264.05,0,1,-3.72,0,1.05,2.43,732.0,,,
4.982271233039568,0.18,314.05,0,1,-4.59,0,1.22,2.45,732.0,,,
5.110589710299249,0.88,364.06,0,1,-5.42,0,1.4,3.77,732.0,,,
5.068185861746161,0.251,299.1,0,1,-3.36,0,1.1711,2.26,732.0,,,
4.845718017966659,1.65,400.11,0,1,-5.0,0,1.52,3.3,732.0,,,
4.5910646070265,-1.22,214.039,0,1,-2.82,0,0.8705,1.81,820.0,,,
4.611723308007342,-0.54,264.05,0,1,-3.72,0,1.05,2.43,820.0,,,
5.324282455297693,0.18,314.05,0,1,-4.59,0,1.22,2.45,820.0,,,
5.947286644677798,0.88,364.06,0,1,-5.42,0,1.4,3.77,820.0,,,
3.3909351071033798,-1.22,214.039,0,1,-2.82,0,0.8705,1.81,900.0,,,
4.2552725051033065,-0.54,264.05,0,1,-3.72,0,1.05,2.43,900.0,,,
4.763427993562937,0.18,314.05,0,1,-4.59,0,1.22,2.45,900.0,,,
4.982271233039568,0.88,364.06,0,1,-5.42,0,1.4,3.77,900.0,,,
4.826074802700826,0.251,299.1,0,1,-3.36,0,1.1711,2.26,900.0,,,
4.982271233039568,1.65,400.11,0,1,-5.0,0,1.52,3.3,900.0,,,
5.041392685158225,1.65,400.11,0,1,-5.0,0,1.52,3.3,752.0,,1.0499999999999998,7.95
4.5892680394627225,1.65,400.11,0,1,-5.0,0,1.52,3.3,1000.0,,,
3.716003343634799,-1.22,214.039,0,1,-2.82,0,0.8705,1.81,1120.0,,,
4.130976691605617,0.251,299.1,0,1,-3.36,0,1.1711,2.26,1120.0,,,
